,ARID,ORID,PHASE,STA,ATIME,TIMEDEF,LAT,LON,DEPTH,OTIME
103,59086883,6328661,P,BDFB,2010135,d,-38.073882,-73.408226,0.0,2010135
104,59086889,6328661,P,DBIC,2010135,d,-38.073882,-73.408226,0.0,2010135
105,59086900,6328661,P,MAW,2010135,d,-38.073882,-73.408226,0.0,2010135
106,59086922,6328661,P,TORD,2010135,d,-38.073882,-73.408226,0.0,2010135
107,59086941,6328661,P,TXAR,2010135,d,-38.073882,-73.408226,0.0,2010135
108,59086968,6328661,P,PDAR,2010135,d,-38.073882,-73.408226,0.0,2010135
109,59088437,6328661,P,SIV,2010135,d,-38.073882,-73.408226,0.0,2010135
110,59088879,6328661,P,ANMO,2010135,d,-38.073882,-73.408226,0.0,2010135
111,59088886,6328661,P,QSPA,2010135,d,-38.073882,-73.408226,0.0,2010135
112,59088898,6328661,P,SADO,2010135,d,-38.073882,-73.408226,0.0,2010135
113,59087347,6328516,Pn,TXAR,2010135,d,32.056415,-115.41725,0.0,2010135
114,59087388,6328516,P,ILAR,2010135,d,32.056415,-115.41725,0.0,2010135
115,59087431,6328516,P,YKA,2010135,d,32.056415,-115.41725,0.0,2010135
116,59089409,6328516,P,INK,2010135,d,32.056415,-115.41725,0.0,2010135
117,59087697,6328260,Pn,MJAR,2010135,d,32.045914,141.05526,0.0,2010135
118,59087843,6328260,P,MKAR,2010135,d,32.045914,141.05526,0.0,2010135
119,59087846,6328260,tx,MKAR,2010135,n,31.780822,103.97332,0.0,2010135
120,59087873,6328260,P,WRA,2010135,d,32.045914,141.05526,0.0,2010135
121,59087775,6328545,P,BRTR,2010135,d,31.780822,103.97332,0.0,2010135
122,59087786,6328545,P,STKA,2010135,d,31.780822,103.97332,0.0,2010135
123,59087787,6328545,Pn,SONM,2010135,d,31.780822,103.97332,0.0,2010135
124,59087795,6328545,P,ZALV,2010135,d,31.780822,103.97332,0.0,2010135
125,59087805,6328545,Pn,CMAR,2010135,d,31.780822,103.97332,0.0,2010135
126,59087838,6328545,P,ASAR,2010135,d,31.780822,103.97332,0.0,2010135
127,59087852,6328545,P,FINES,2010135,d,31.780822,103.97332,0.0,2010135
128,59087869,6328545,P,KSRS,2010135,d,31.780822,103.97332,0.0,2010135
129,59087877,6328545,P,WRA,2010135,d,31.780822,103.97332,0.0,2010135
130,59087883,6328545,P,YKA,2010135,d,31.780822,103.97332,0.0,2010135
131,59087900,6328545,P,NOA,2010135,d,31.780822,103.97332,0.0,2010135
132,59090248,6328545,P,HFS,2010135,d,31.780822,103.97332,0.0,2010135
133,59088056,6328578,P,MKAR,2010135,d,57.233819,162.32579,0.0,2010135
134,59088065,6328578,P,NVAR,2010135,d,57.233819,162.32579,0.0,2010135
135,59088076,6328578,P,FINES,2010135,d,57.233819,162.32579,0.0,2010135
136,59088093,6328578,P,SONM,2010135,d,57.233819,162.32579,0.0,2010135
137,59088099,6328578,P,ZALV,2010135,d,57.233819,162.32579,0.0,2010135
138,59088108,6328578,P,USRK,2010135,d,57.233819,162.32579,0.0,2010135
139,59088114,6328578,P,CMAR,2010135,d,57.233819,162.32579,0.0,2010135
140,59088115,6328578,P,PDAR,2010135,d,57.233819,162.32579,0.0,2010135
141,59088120,6328578,Pn,PETK,2010135,d,57.233819,162.32579,0.0,2010135
142,59088125,6328578,P,ILAR,2010135,d,57.233819,162.32579,0.0,2010135
143,59088129,6328578,P,YKA,2010135,d,57.233819,162.32579,0.0,2010135
144,59088144,6328578,P,NOA,2010135,d,57.233819,162.32579,0.0,2010135
145,59088166,6328578,P,GERES,2010135,d,57.233819,162.32579,0.0,2010135
146,59088173,6328578,P,BRTR,2010135,d,57.233819,162.32579,0.0,2010135
147,59088197,6328578,P,ESDC,2010135,d,57.233819,162.32579,0.0,2010135
148,59088229,6328578,P,TXAR,2010135,d,57.233819,162.32579,0.0,2010135
149,59088255,6328578,P,ASAR,2010135,d,57.233819,162.32579,0.0,2010135
150,59088301,6328578,P,AKASG,2010135,d,57.233819,162.32579,0.0,2010135
151,59090108,6328578,Pn,SEY,2010135,d,57.233819,162.32579,0.0,2010135
152,59090761,6328578,P,INK,2010135,d,57.233819,162.32579,0.0,2010135
153,59090900,6328578,P,KURK,2010135,d,57.233819,162.32579,0.0,2010135
154,59092054,6328578,P,BVAR,2010135,d,57.233819,162.32579,0.0,2010135
155,59088219,6328312,P,MKAR,2010135,d,-28.866282,61.947408,0.0,2010135
156,59088253,6328312,P,ASAR,2010135,d,-28.866282,61.947408,0.0,2010135
157,59088263,6328312,P,TORD,2010135,d,-28.866282,61.947408,0.0,2010135
158,59088265,6328312,P,ZALV,2010135,d,-28.866282,61.947408,0.0,2010135
159,59088308,6328312,P,WRA,2010135,d,-28.866282,61.947408,0.0,2010135
160,59088257,6328383,P,ASAR,2010135,d,3.2588563,125.98607,62.705309,2010135
161,59088264,6328383,P,USRK,2010135,d,3.2588563,125.98607,62.705309,2010135
162,59088297,6328383,P,PETK,2010135,d,3.2588563,125.98607,62.705309,2010135
163,59088311,6328383,P,WRA,2010135,d,3.2588563,125.98607,62.705309,2010135
164,59088444,6328378,P,SCHQ,2010135,d,52.320479,-171.03113,49.378835,2010135
165,59088455,6328378,P,BRTR,2010135,d,52.320479,-171.03113,49.378835,2010135
166,59088464,6328378,P,GEYT,2010135,d,52.320479,-171.03113,49.378835,2010135
167,59088465,6328378,P,ARCES,2010135,d,52.320479,-171.03113,49.378835,2010135
168,59088471,6328378,P,MKAR,2010135,d,52.320479,-171.03113,49.378835,2010135
169,59088477,6328378,P,ESDC,2010135,d,52.320479,-171.03113,49.378835,2010135
170,59088479,6328378,P,ULM,2010135,d,52.320479,-171.03113,49.378835,2010135
171,59088485,6328378,P,GERES,2010135,d,52.320479,-171.03113,49.378835,2010135
172,59088499,6328378,P,TXAR,2010135,d,52.320479,-171.03113,49.378835,2010135
173,59088505,6328378,P,USRK,2010135,d,52.320479,-171.03113,49.378835,2010135
174,59088515,6328378,P,ASAR,2010135,d,52.320479,-171.03113,49.378835,2010135
175,59088516,6328378,P,ZALV,2010135,d,52.320479,-171.03113,49.378835,2010135
176,59088526,6328378,P,MJAR,2010135,d,52.320479,-171.03113,49.378835,2010135
177,59088541,6328378,P,CMAR,2010135,d,52.320479,-171.03113,49.378835,2010135
178,59088544,6328378,P,SONM,2010135,d,52.320479,-171.03113,49.378835,2010135
179,59088554,6328378,P,ILAR,2010135,d,52.320479,-171.03113,49.378835,2010135
180,59088560,6328378,P,NVAR,2010135,d,52.320479,-171.03113,49.378835,2010135
181,59088566,6328378,P,FINES,2010135,d,52.320479,-171.03113,49.378835,2010135
182,59088572,6328378,P,KSRS,2010135,d,52.320479,-171.03113,49.378835,2010135
183,59088576,6328378,P,PETK,2010135,d,52.320479,-171.03113,49.378835,2010135
184,59088583,6328378,P,PDAR,2010135,d,52.320479,-171.03113,49.378835,2010135
185,59088587,6328378,P,NOA,2010135,d,52.320479,-171.03113,49.378835,2010135
186,59088624,6328378,P,WRA,2010135,d,52.320479,-171.03113,49.378835,2010135
187,59088673,6328370,tx,PLCA,2010135,n,-16.917686,-70.137934,0.0,2010135
188,59088746,6328370,Pn,LPAZ,2010135,d,-16.917686,-70.137934,0.0,2010135
189,59089006,6328370,P,TXAR,2010135,d,-16.917686,-70.137934,0.0,2010135
190,59089010,6328370,P,ULM,2010135,d,-16.917686,-70.137934,0.0,2010135
191,59089011,6328370,P,TORD,2010135,d,-16.917686,-70.137934,0.0,2010135
192,59089084,6328370,P,YKA,2010135,d,-16.917686,-70.137934,0.0,2010135
193,59089363,6328517,Pn,ANMO,2010135,d,32.056415,-115.41725,0.0,2010135
194,59089638,6328458,Pg,MKAR,2010135,d,38.322875,72.325423,0.0,2010135
195,59089823,6328458,Pn,ZALV,2010135,d,38.322875,72.325423,0.0,2010135
196,59091797,6328862,Pn,MKAR,2010135,d,51.006275,73.749436,0.0,2010135
197,59091841,6328862,Pn,ZALV,2010135,d,51.006275,73.749436,0.0,2010135
198,59092025,6328862,P,ILAR,2010135,d,51.006275,73.749436,0.0,2010135
199,59092048,6328862,P,YKA,2010135,d,51.006275,73.749436,0.0,2010135
200,59093667,6328862,Pn,BVAR,2010135,d,51.006275,73.749436,0.0,2010135
201,59093828,6328862,Pn,KURK,2010135,d,51.006275,73.749436,0.0,2010135
202,59092260,6328903,P,STKA,2010135,d,2.3500527,128.49869,225.39289,2010135
203,59092288,6328903,P,MJAR,2010135,d,2.3500527,128.49869,225.39289,2010135
204,59092342,6328903,P,ASAR,2010135,d,2.3500527,128.49869,225.39289,2010135
205,59092347,6328903,P,MKAR,2010135,d,2.3500527,128.49869,225.39289,2010135
206,59092365,6328903,P,VNDA,2010135,d,2.3500527,128.49869,225.39289,2010135
207,59092377,6328903,P,PETK,2010135,d,2.3500527,128.49869,225.39289,2010135
208,59092393,6328903,P,KSRS,2010135,d,2.3500527,128.49869,225.39289,2010135
209,59092394,6328903,P,WRA,2010135,d,2.3500527,128.49869,225.39289,2010135
210,59092550,6328903,P,ILAR,2010135,d,2.3500527,128.49869,225.39289,2010135
211,59093817,6328903,Pg,SIJI,2010135,d,2.3500527,128.49869,225.39289,2010135
212,59092653,6329115,P,ASAR,2010135,d,-2.3307501,139.11796,0.0,2010135
213,59092711,6329115,P,WRA,2010135,d,-2.3307501,139.11796,0.0,2010135
214,59092755,6329115,P,MKAR,2010135,d,-2.3307501,139.11796,0.0,2010135
215,59096769,6329115,Pg,JAY,2010135,d,-2.3307501,139.11796,0.0,2010135
216,59092907,6329010,P,MKAR,2010135,d,34.532431,69.242955,0.0,2010135
217,59092983,6329010,P,ASAR,2010135,d,34.532431,69.242955,0.0,2010135
218,59093032,6329155,P,YKA,2010135,d,34.532431,69.242955,0.0,2010135
219,59093357,6329315,Pn,AKASG,2010135,d,41.271695,30.205395,0.0,2010135
220,59093435,6329315,P,ZALV,2010135,d,41.271695,30.205395,0.0,2010135
221,59093439,6329315,P,TORD,2010135,d,41.271695,30.205395,0.0,2010135
222,59093466,6329315,P,MKAR,2010135,d,41.271695,30.205395,0.0,2010135
223,59093501,6329315,P,NOA,2010135,d,41.271695,30.205395,0.0,2010135
224,59093508,6329315,P,FINES,2010135,d,41.271695,30.205395,0.0,2010135
225,59093513,6329315,P,KSRS,2010135,d,41.271695,30.205395,0.0,2010135
226,59093527,6329315,P,YKA,2010135,d,41.271695,30.205395,0.0,2010135
227,59093680,6328814,P,MKAR,2010135,d,-1.2540409,120.28729,0.0,2010135
228,59093691,6328814,P,STKA,2010135,d,-1.2540409,120.28729,0.0,2010135
229,59093733,6328814,P,ZALV,2010135,d,-1.2540409,120.28729,0.0,2010135
230,59093743,6328814,P,ASAR,2010135,d,-1.2540409,120.28729,0.0,2010135
231,59093801,6328814,P,WRA,2010135,d,-1.2540409,120.28729,0.0,2010135
232,59094267,6329423,P,MAW,2010135,d,-23.458615,-176.569,52.451935,2010135
233,59094331,6329423,P,TXAR,2010135,d,-23.458615,-176.569,52.451935,2010135
234,59094333,6329423,P,MJAR,2010135,d,-23.458615,-176.569,52.451935,2010135
235,59094337,6329423,P,USRK,2010135,d,-23.458615,-176.569,52.451935,2010135
236,59094357,6329423,P,ILAR,2010135,d,-23.458615,-176.569,52.451935,2010135
237,59094358,6329423,P,PETK,2010135,d,-23.458615,-176.569,52.451935,2010135
238,59094378,6329423,P,NVAR,2010135,d,-23.458615,-176.569,52.451935,2010135
239,59094381,6329423,P,PDAR,2010135,d,-23.458615,-176.569,52.451935,2010135
240,59094539,6329423,P,KSRS,2010135,d,-23.458615,-176.569,52.451935,2010135
241,59094575,6329423,P,YKA,2010135,n,-23.458615,-176.569,52.451935,2010135
242,59095357,6329423,P,CMAR,2010135,d,-23.458615,-176.569,52.451935,2010135
243,59094327,6329461,P,VNDA,2010135,d,-23.458615,-176.569,52.451935,2010135
