ORID,LAT,LON,DEPTH,ORIGIN,EVID,MB,MS,ML,ARID,PHASE,DELTA,STA,TIME,IPHASE,AZIMUTH,DELTIM,DELAZ,JDATE,STA_LAT,STA_LON,STATYPE,ONDATE,OFFDATE,TIMEDEF,ATIME,OTIME
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087787,Pn,16.140319,SONM,2010-05-15 09:10:46.880000000,P,185.71059,0.6503097,20.543645,2010135,47.83469,106.39499,ar,2000245.0,2286324.0,d,1273914646.88,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087795,P,26.065749,ZALV,2010-05-15 09:12:31.424999936,P,138.28924,0.73356582,10.848825,2010135,53.94805,84.81878,ar,2006286.0,2286324.0,d,1273914751.424999,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087805,Pn,14.022626,CMAR,2010-05-15 09:10:18.222289920,P,9.1713217,0.5808738,4.5571575,2010135,18.4576,98.94315,ar,1986198.0,2286324.0,d,1273914618.222289,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087833,P,56.597771,ARCES,2010-05-15 09:16:39.924999936,P,60.603947,0.6987576,5.1432244,2010135,69.53486,25.50578,ar,1998154.0,2286324.0,d,1273914999.924999,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087838,P,62.126314,ASAR,2010-05-15 09:17:19.500000000,P,336.79274,0.18856421,2.1933238,2010135,-23.66513,133.90526,ar,2005165.0,2286324.0,d,1273915039.5,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087846,P,22.398587,MKAR,2010-05-15 09:11:57.000000000,tx,120.54757,0.37458382,11.748761,2010135,46.79368,82.29057,ar,2000092.0,2286324.0,d,1273914717.0,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087852,P,56.944403,FINES,2010-05-15 09:16:42.724999936,P,97.861942,0.12,8.1146963,2010135,61.4436,26.0771,ar,1993322.0,2286324.0,d,1273915002.724999,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087869,P,20.45133,KSRS,2010-05-15 09:11:36.249999872,P,255.43472,0.43236825,3.0048081,2010135,37.44209,127.88452,ar,2002017.0,2286324.0,d,1273914696.249999,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087877,P,59.097487,WRA,2010-05-15 09:16:58.775000064,P,338.55657,0.13442493,1.6314287,2010135,-19.9426,134.3395,ar,1999182.0,2286324.0,d,1273915018.775,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087883,P,81.078418,YKA,2010-05-15 09:19:12.844999936,P,327.04369,0.37527548,1.2666572,2010135,62.4931,-114.6062,ar,1989025.0,2014013.0,d,1273915152.844999,1273914416.445329
